Indicator,Year,Country ISO 3 code,Country,WHO region,World bank income group,Sex,Comments,Value Numeric,Value String,Value low,Value high
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,BHS,Bahamas,Americas,High income,Both sexes,The most recent survey was conducted in 2019. This is a projection.,11.3,11.3 [7.8-14.8],7.8,14.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,BHS,Bahamas,Americas,High income,Female,The most recent survey was conducted in 2019. This is a projection.,1.9,1.9 [1.1-2.7],1.1,2.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,BHS,Bahamas,Americas,High income,Male,The most recent survey was conducted in 2019. This is a projection.,20.7,20.7 [14.5-27.0],14.5,27
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,BHS,Bahamas,Americas,High income,Both sexes,The most recent survey was conducted in 2019. This is a projection.,11.4,11.4 [6.8-15.9],6.8,15.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,BHS,Bahamas,Americas,High income,Female,The most recent survey was conducted in 2019. This is a projection.,1.6,1.6 [0.9-2.3],0.9,2.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,BHS,Bahamas,Americas,High income,Male,The most recent survey was conducted in 2019. This is a projection.,21.1,21.1 [12.7-29.6],12.7,29.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,BHR,Bahrain,Eastern Mediterranean,High income,Male,,36.4,36.4 [25.1-47.6],25.1,47.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,BHR,Bahrain,Eastern Mediterranean,High income,Both sexes,,22,22.0 [14.9-29.0],14.9,29
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,BHR,Bahrain,Eastern Mediterranean,High income,Female,,7.5,7.5 [4.7-10.3],4.7,10.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,BHR,Bahrain,Eastern Mediterranean,High income,Female,,6.7,6.7 [4.6-8.9],4.6,8.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,BHR,Bahrain,Eastern Mediterranean,High income,Male,,33.2,33.2 [24.3-42.1],24.3,42.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,BHR,Bahrain,Eastern Mediterranean,High income,Both sexes,,20,20.0 [14.5-25.5],14.5,25.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,BHR,Bahrain,Eastern Mediterranean,High income,Both sexes,,19.4,19.4 [14.6-24.1],14.6,24.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,BHR,Bahrain,Eastern Mediterranean,High income,Female,,6.5,6.5 [4.3-8.7],4.3,8.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,BHR,Bahrain,Eastern Mediterranean,High income,Male,,32.2,32.2 [24.9-39.5],24.9,39.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,BHR,Bahrain,Eastern Mediterranean,High income,Both sexes,,18.3,18.3 [13.7-22.9],13.7,22.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,BHR,Bahrain,Eastern Mediterranean,High income,Female,,6.1,6.1 [3.9-8.4],3.9,8.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,BHR,Bahrain,Eastern Mediterranean,High income,Male,,30.4,30.4 [23.4-37.4],23.4,37.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,BHR,Bahrain,Eastern Mediterranean,High income,Both sexes,,16.8,16.8 [12.7-20.9],12.7,20.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,BHR,Bahrain,Eastern Mediterranean,High income,Male,,28,28.0 [22.4-33.6],22.4,33.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,BHR,Bahrain,Eastern Mediterranean,High income,Female,,5.7,5.7 [3.1-8.2],3.1,8.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,BHR,Bahrain,Eastern Mediterranean,High income,Both sexes,The most recent survey was conducted in 2017-19. This is a projection.,15.4,15.4 [10.3-20.5],10.3,20.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,BHR,Bahrain,Eastern Mediterranean,High income,Male,The most recent survey was conducted in 2017-19. This is a projection.,25.6,25.6 [18.3-32.9],18.3,32.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,BHR,Bahrain,Eastern Mediterranean,High income,Female,The most recent survey was conducted in 2017-19. This is a projection.,5.2,5.2 [2.3-8.2],2.3,8.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,BHR,Bahrain,Eastern Mediterranean,High income,Male,The most recent survey was conducted in 2017-19. This is a projection.,25.3,25.3 [18.3-32.4],18.3,32.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,BHR,Bahrain,Eastern Mediterranean,High income,Female,The most recent survey was conducted in 2017-19. This is a projection.,5.1,5.1 [1.9-8.3],1.9,8.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,BHR,Bahrain,Eastern Mediterranean,High income,Both sexes,The most recent survey was conducted in 2017-19. This is a projection.,15.2,15.2 [10.1-20.4],10.1,20.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,BHR,Bahrain,Eastern Mediterranean,High income,Female,The most recent survey was conducted in 2017-19. This is a projection.,5.1,5.1 [2.1-8.1],2.1,8.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,BHR,Bahrain,Eastern Mediterranean,High income,Both sexes,The most recent survey was conducted in 2017-19. This is a projection.,15,15.0 [9.3-20.8],9.3,20.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,BHR,Bahrain,Eastern Mediterranean,High income,Male,The most recent survey was conducted in 2017-19. This is a projection.,25,25.0 [16.5-33.5],16.5,33.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,BHR,Bahrain,Eastern Mediterranean,High income,Male,The most recent survey was conducted in 2017-19. This is a projection.,23.8,23.8 [15.4-32.1],15.4,32.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,BHR,Bahrain,Eastern Mediterranean,High income,Both sexes,The most recent survey was conducted in 2017-19. This is a projection.,14.3,14.3 [8.7-20.0],8.7,20
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,BHR,Bahrain,Eastern Mediterranean,High income,Female,The most recent survey was conducted in 2017-19. This is a projection.,4.9,4.9 [1.9-7.9],1.9,7.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,BHR,Bahrain,Eastern Mediterranean,High income,Both sexes,The most recent survey was conducted in 2017-19. This is a projection.,13.3,13.3 [6.7-19.8],6.7,19.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,BHR,Bahrain,Eastern Mediterranean,High income,Male,The most recent survey was conducted in 2017-19. This is a projection.,21.9,21.9 [12.6-31.2],12.6,31.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,BHR,Bahrain,Eastern Mediterranean,High income,Female,The most recent survey was conducted in 2017-19. This is a projection.,4.6,4.6 [0.9-8.4],0.9,8.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,BGD,Bangladesh,South-East Asia,Lower middle income,Both sexes,,32,32.0 [25.0-39.0],25,39
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,BGD,Bangladesh,South-East Asia,Lower middle income,Female,,5.5,5.5 [3.9-7.1],3.9,7.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,BGD,Bangladesh,South-East Asia,Lower middle income,Male,,58.4,58.4 [46.1-70.8],46.1,70.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,BGD,Bangladesh,South-East Asia,Lower middle income,Male,,52.2,52.2 [44.0-60.3],44,60.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,BGD,Bangladesh,South-East Asia,Lower middle income,Both sexes,,27.6,27.6 [23.2-32.1],23.2,32.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,BGD,Bangladesh,South-East Asia,Lower middle income,Female,,3.1,3.1 [2.4-3.9],2.4,3.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,BGD,Bangladesh,South-East Asia,Lower middle income,Female,,2.5,2.5 [1.9-3.1],1.9,3.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,BGD,Bangladesh,South-East Asia,Lower middle income,Both sexes,,26,26.0 [21.4-30.7],21.4,30.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,BGD,Bangladesh,South-East Asia,Lower middle income,Male,,49.6,49.6 [40.8-58.3],40.8,58.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,BGD,Bangladesh,South-East Asia,Lower middle income,Male,,46.2,46.2 [38.6-53.8],38.6,53.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,BGD,Bangladesh,South-East Asia,Lower middle income,Both sexes,,24,24.0 [20.0-28.0],20,28
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,BGD,Bangladesh,South-East Asia,Lower middle income,Female,,1.8,1.8 [1.3-2.2],1.3,2.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,BGD,Bangladesh,South-East Asia,Lower middle income,Both sexes,,21,21.0 [17.4-24.5],17.4,24.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,BGD,Bangladesh,South-East Asia,Lower middle income,Female,,1,1.0 [0.8-1.3],0.8,1.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,BGD,Bangladesh,South-East Asia,Lower middle income,Male,,40.9,40.9 [34.0-47.8],34,47.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,BGD,Bangladesh,South-East Asia,Lower middle income,Male,The most recent survey was conducted in 2018. This is a projection.,36.3,36.3 [30.0-42.7],30,42.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,BGD,Bangladesh,South-East Asia,Lower middle income,Both sexes,The most recent survey was conducted in 2018. This is a projection.,18.5,18.5 [15.2-21.7],15.2,21.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,BGD,Bangladesh,South-East Asia,Lower middle income,Female,The most recent survey was conducted in 2018. This is a projection.,0.6,0.6 [0.4-0.8],0.4,0.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,BGD,Bangladesh,South-East Asia,Lower middle income,Male,The most recent survey was conducted in 2018. This is a projection.,35.6,35.6 [28.8-42.4],28.8,42.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,BGD,Bangladesh,South-East Asia,Lower middle income,Female,The most recent survey was conducted in 2018. This is a projection.,0.5,0.5 [0.4-0.7],0.4,0.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,BGD,Bangladesh,South-East Asia,Lower middle income,Both sexes,The most recent survey was conducted in 2018. This is a projection.,18.1,18.1 [14.6-21.5],14.6,21.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,BGD,Bangladesh,South-East Asia,Lower middle income,Both sexes,The most recent survey was conducted in 2018. This is a projection.,17.6,17.6 [14.1-21.1],14.1,21.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,BGD,Bangladesh,South-East Asia,Lower middle income,Male,The most recent survey was conducted in 2018. This is a projection.,34.7,34.7 [27.9-41.5],27.9,41.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,BGD,Bangladesh,South-East Asia,Lower middle income,Female,The most recent survey was conducted in 2018. This is a projection.,0.5,0.5 [0.3-0.6],0.3,0.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,BGD,Bangladesh,South-East Asia,Lower middle income,Both sexes,The most recent survey was conducted in 2018. This is a projection.,16.4,16.4 [12.7-20.0],12.7,20
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,BGD,Bangladesh,South-East Asia,Lower middle income,Female,The most recent survey was conducted in 2018. This is a projection.,0.3,0.3 [0.2-0.5],0.2,0.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,BGD,Bangladesh,South-East Asia,Lower middle income,Male,The most recent survey was conducted in 2018. This is a projection.,32.4,32.4 [25.2-39.6],25.2,39.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,BGD,Bangladesh,South-East Asia,Lower middle income,Both sexes,The most recent survey was conducted in 2018. This is a projection.,14.4,14.4 [10.9-18.0],10.9,18
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,BGD,Bangladesh,South-East Asia,Lower middle income,Male,The most recent survey was conducted in 2018. This is a projection.,28.7,28.7 [21.7-35.6],21.7,35.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,BGD,Bangladesh,South-East Asia,Lower middle income,Female,The most recent survey was conducted in 2018. This is a projection.,0.2,0.2 [0.1-0.3],0.1,0.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,BRB,Barbados,Americas,High income,Male,,15.3,15.3 [9.8-20.7],9.8,20.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,BRB,Barbados,Americas,High income,Female,,3.7,3.7 [2.1-5.2],2.1,5.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,BRB,Barbados,Americas,High income,Both sexes,,9.5,9.5 [6.0-12.9],6,12.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,BRB,Barbados,Americas,High income,Female,,3.1,3.1 [1.9-4.2],1.9,4.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,BRB,Barbados,Americas,High income,Male,,14.5,14.5 [10.0-18.9],10,18.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,BRB,Barbados,Americas,High income,Both sexes,,8.8,8.8 [6.0-11.6],6,11.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,BRB,Barbados,Americas,High income,Male,,14.1,14.1 [9.6-18.7],9.6,18.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,BRB,Barbados,Americas,High income,Both sexes,,8.5,8.5 [5.7-11.3],5.7,11.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,BRB,Barbados,Americas,High income,Female,,2.9,2.9 [1.8-3.9],1.8,3.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,BRB,Barbados,Americas,High income,Female,,2.6,2.6 [1.7-3.5],1.7,3.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,BRB,Barbados,Americas,High income,Both sexes,,8.1,8.1 [5.4-10.9],5.4,10.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,BRB,Barbados,Americas,High income,Male,,13.7,13.7 [9.1-18.3],9.1,18.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,BRB,Barbados,Americas,High income,Both sexes,The most recent survey was conducted in 2011-12. This is a projection.,7.6,7.6 [5.0-10.2],5,10.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,BRB,Barbados,Americas,High income,Male,The most recent survey was conducted in 2011-12. This is a projection.,13,13.0 [8.7-17.4],8.7,17.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,BRB,Barbados,Americas,High income,Female,The most recent survey was conducted in 2011-12. This is a projection.,2.2,2.2 [1.4-3.0],1.4,3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,BRB,Barbados,Americas,High income,Female,The most recent survey was conducted in 2011-12. This is a projection.,1.9,1.9 [1.1-2.6],1.1,2.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,BRB,Barbados,Americas,High income,Both sexes,The most recent survey was conducted in 2011-12. This is a projection.,7.1,7.1 [4.4-9.9],4.4,9.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,BRB,Barbados,Americas,High income,Male,The most recent survey was conducted in 2011-12. This is a projection.,12.4,12.4 [7.7-17.2],7.7,17.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,BRB,Barbados,Americas,High income,Female,The most recent survey was conducted in 2011-12. This is a projection.,1.8,1.8 [1.0-2.5],1,2.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,BRB,Barbados,Americas,High income,Both sexes,The most recent survey was conducted in 2011-12. This is a projection.,7,7.0 [4.4-9.7],4.4,9.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,BRB,Barbados,Americas,High income,Male,The most recent survey was conducted in 2011-12. This is a projection.,12.2,12.2 [7.7-16.8],7.7,16.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,BRB,Barbados,Americas,High income,Female,The most recent survey was conducted in 2011-12. This is a projection.,1.7,1.7 [1.0-2.5],1,2.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,BRB,Barbados,Americas,High income,Both sexes,The most recent survey was conducted in 2011-12. This is a projection.,7,7.0 [4.0-10.0],4,10
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,BRB,Barbados,Americas,High income,Male,The most recent survey was conducted in 2011-12. This is a projection.,12.2,12.2 [7.0-17.5],7,17.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,BRB,Barbados,Americas,High income,Female,The most recent survey was conducted in 2011-12. This is a projection.,1.6,1.6 [0.9-2.3],0.9,2.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,BRB,Barbados,Americas,High income,Both sexes,The most recent survey was conducted in 2011-12. This is a projection.,6.7,6.7 [3.6-9.9],3.6,9.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,BRB,Barbados,Americas,High income,Male,The most recent survey was conducted in 2011-12. This is a projection.,11.9,11.9 [6.4-17.4],6.4,17.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,BRB,Barbados,Americas,High income,Male,The most recent survey was conducted in 2011-12. This is a projection.,11.4,11.4 [5.4-17.3],5.4,17.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,BRB,Barbados,Americas,High income,Both sexes,The most recent survey was conducted in 2011-12. This is a projection.,6.4,6.4 [3.0-9.7],3,9.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,BRB,Barbados,Americas,High income,Female,The most recent survey was conducted in 2011-12. This is a projection.,1.4,1.4 [0.7-2.1],0.7,2.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,BLR,Belarus,Europe,Upper middle income,Female,,11.8,11.8 [9.3-14.4],9.3,14.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,BLR,Belarus,Europe,Upper middle income,Male,,62,62.0 [50.5-73.4],50.5,73.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,BLR,Belarus,Europe,Upper middle income,Both sexes,,36.9,36.9 [29.9-43.9],29.9,43.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,BLR,Belarus,Europe,Upper middle income,Male,,56.1,56.1 [46.8-65.4],46.8,65.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,BLR,Belarus,Europe,Upper middle income,Both sexes,,33.9,33.9 [28.1-39.7],28.1,39.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,BLR,Belarus,Europe,Upper middle income,Female,,11.7,11.7 [9.4-14.0],9.4,14
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,BLR,Belarus,Europe,Upper middle income,Male,,54,54.0 [45.6-62.4],45.6,62.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,BLR,Belarus,Europe,Upper middle income,Female,,11.7,11.7 [9.8-13.6],9.8,13.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,BLR,Belarus,Europe,Upper middle income,Both sexes,,32.8,32.8 [27.7-38.0],27.7,38
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,BLR,Belarus,Europe,Upper middle income,Both sexes,,31.3,31.3 [26.2-36.4],26.2,36.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,BLR,Belarus,Europe,Upper middle income,Male,,51,51.0 [42.7-59.2],42.7,59.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2010,BLR,Belarus,Europe,Upper middle income,Female,,11.6,11.6 [9.7-13.5],9.7,13.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,BLR,Belarus,Europe,Upper middle income,Both sexes,,28.8,28.8 [23.8-33.8],23.8,33.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,BLR,Belarus,Europe,Upper middle income,Male,,46.1,46.1 [38.1-54.1],38.1,54.1
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2015,BLR,Belarus,Europe,Upper middle income,Female,,11.5,11.5 [9.4-13.6],9.4,13.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,BLR,Belarus,Europe,Upper middle income,Female,,11.4,11.4 [9.3-13.4],9.3,13.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,BLR,Belarus,Europe,Upper middle income,Male,,41.6,41.6 [33.9-49.3],33.9,49.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2020,BLR,Belarus,Europe,Upper middle income,Both sexes,,26.5,26.5 [21.6-31.4],21.6,31.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,BLR,Belarus,Europe,Upper middle income,Female,,11.4,11.4 [9.1-13.6],9.1,13.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,BLR,Belarus,Europe,Upper middle income,Male,,40.8,40.8 [33.7-47.9],33.7,47.9
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2021,BLR,Belarus,Europe,Upper middle income,Both sexes,,26.1,26.1 [21.4-30.8],21.4,30.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,BLR,Belarus,Europe,Upper middle income,Male,,39.9,39.9 [32.4-47.4],32.4,47.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,BLR,Belarus,Europe,Upper middle income,Female,,11.3,11.3 [9.1-13.6],9.1,13.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2022,BLR,Belarus,Europe,Upper middle income,Both sexes,,25.6,25.6 [20.7-30.5],20.7,30.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,BLR,Belarus,Europe,Upper middle income,Male,The most recent survey was conducted in 2022. This is a projection.,37.7,37.7 [30.1-45.3],30.1,45.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,BLR,Belarus,Europe,Upper middle income,Both sexes,The most recent survey was conducted in 2022. This is a projection.,24.5,24.5 [19.4-29.5],19.4,29.5
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2025,BLR,Belarus,Europe,Upper middle income,Female,The most recent survey was conducted in 2022. This is a projection.,11.3,11.3 [8.8-13.8],8.8,13.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,BLR,Belarus,Europe,Upper middle income,Male,The most recent survey was conducted in 2022. This is a projection.,34.2,34.2 [26.1-42.4],26.1,42.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,BLR,Belarus,Europe,Upper middle income,Female,The most recent survey was conducted in 2022. This is a projection.,11.2,11.2 [8.3-14.2],8.3,14.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2030,BLR,Belarus,Europe,Upper middle income,Both sexes,The most recent survey was conducted in 2022. This is a projection.,22.7,22.7 [17.2-28.3],17.2,28.3
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,BEL,Belgium,Europe,High income,Both sexes,,29.1,29.1 [23.5-34.7],23.5,34.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,BEL,Belgium,Europe,High income,Female,,23,23.0 [18.7-27.2],18.7,27.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2000,BEL,Belgium,Europe,High income,Male,,35.2,35.2 [28.3-42.2],28.3,42.2
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,BEL,Belgium,Europe,High income,Female,,22.6,22.6 [18.8-26.4],18.8,26.4
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,BEL,Belgium,Europe,High income,Male,,33.4,33.4 [28.0-38.8],28,38.8
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2005,BEL,Belgium,Europe,High income,Both sexes,,28,28.0 [23.4-32.6],23.4,32.6
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,BEL,Belgium,Europe,High income,Both sexes,,27.6,27.6 [22.6-32.7],22.6,32.7
Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older (SDG 3.a.1),2007,BEL,Belgium,Europe,High income,Male,,32.7,32.7 [26.9-38.4],26.9,38.4
